år,Value,Utdanningsnivå - scenario
2026,20.1533342556878,Grunnskolenivå - scenario2
2029,20.1533342556878,Grunnskolenivå - scenario1
2035,20.1533342556878,Grunnskolenivå - scenario3
2008,20,UH_kort - historisk
2030,19.8071551824993,Grunnskolenivå - scenario1
2033,19.7059538791098,Yrkeskompetanse - scenario2
2007,19.6,UH_kort - historisk
2027,19.4609761093109,Grunnskolenivå - scenario2
2031,19.4609761093109,Grunnskolenivå - scenario1
2006,19.2,UH_kort - historisk
2029,19.1533099061886,UH_lang - scenario2
2035,19.1533099061886,UH_lang - scenario1
2032,19.1147970361225,Grunnskolenivå - scenario1
2034,18.9737698262173,Yrkeskompetanse - scenario2
2005,18.8,UH_kort - historisk
2028,18.768617962934,Grunnskolenivå - scenario2
2033,18.768617962934,Grunnskolenivå - scenario1
2034,18.5854608574372,UH_lang - scenario1
2034,18.4224388897456,Grunnskolenivå - scenario1
2035,18.2415857733248,Yrkeskompetanse - scenario2
2004,18.2,UH_kort - historisk
2029,18.0762598165571,Grunnskolenivå - scenario2
2035,18.0762598165571,Grunnskolenivå - scenario1
2028,18.0176118086858,UH_lang - scenario2
2033,18.0176118086858,UH_lang - scenario1
2003,17.7,UH_kort - historisk
2032,17.4497627599344,UH_lang - scenario1
2030,17.3839016701802,Grunnskolenivå - scenario2
2002,17.2,UH_kort - historisk
2027,16.8819137111831,UH_lang - scenario2
2031,16.8819137111831,UH_lang - scenario1
2001,16.8,UH_kort - historisk
2031,16.6915435238033,Grunnskolenivå - scenario2
2000,16.5,UH_kort - historisk
2030,16.3140646624317,UH_lang - scenario1
2032,15.9991853774265,Grunnskolenivå - scenario2
2026,15.7462156136803,UH_lang - scenario2
2029,15.7462156136803,UH_lang - scenario1
2035,15.7462156136803,UH_lang - scenario3
2034,15.4622910893046,UH_lang - scenario3
2033,15.3068272310496,Grunnskolenivå - scenario2
2028,15.1783665649289,UH_lang - scenario1
2033,15.1783665649289,UH_lang - scenario3
2032,14.8944420405532,UH_lang - scenario3
2034,14.6144690846727,Grunnskolenivå - scenario2
2025,14.6105175161775,UH_lang - scenario2
2027,14.6105175161775,UH_lang - scenario1
2031,14.6105175161775,UH_lang - scenario3
2030,14.3265929918018,UH_lang - scenario3
2026,14.0426684674261,UH_lang - scenario1
2029,14.0426684674261,UH_lang - scenario3
2035,13.9221109382958,Grunnskolenivå - scenario2
2028,13.7587439430504,UH_lang - scenario3
2024,13.4748194186747,UH_lang - scenario2
2025,13.4748194186747,UH_lang - scenario1
2027,13.4748194186747,UH_lang - scenario3
2026,13.1908948942991,UH_lang - scenario3
2024,12.9069703699234,UH_lang - scenario1
2025,12.9069703699234,UH_lang - scenario3
2024,12.6230458455477,UH_lang - scenario3
